Model ID,Type,Base Model,Task,Library,Download,Model Category,Real Type,Real base model,Real domain,is transformer-based,is_base_model,is_dependent_model,is_base_and_dependent_model,is_isloated,is_dependency_miss,is_dependency_wrong
utahnlp/rotten_tomatoes_t5-base_seed-1,,,text-generation,transformers,5966,NLP,/,/,NLP,1,0,0,0,1,0,0
1-800-BAD-CODE/punct_cap_seg_47_language,,,text-generation,generic,9841,NLP,/,/,NLP,1,0,0,0,1,0,0
cognitivecomputations/dolphin-2.9.1-yi-1.5-34b,finetune,01-ai/Yi-1.5-34B,text-generation,transformers,4813554,NLP,finetune,01-ai/Yi-1.5-34B,NLP,1,1,1,1,0,0,0
SeaLLMs/SeaLLM-7B-v2,,,text-generation,transformers,10466,NLP,finetune,Mistral-7B,NLP,1,1,1,1,0,1,0
TheBloke/Chronos-Hermes-13b-v2-GGUF,quantized,Austism/chronos-hermes-13b-v2,,transformers,3735,Unknown,quantized,Austism/chronos-hermes-13b-v2,NLP,1,0,1,0,0,0,0
jinaai/jina-embeddings-v2-base-en,,,feature-extraction,sentence-transformers,198721,NLP,/,/,NLP,1,1,0,0,0,0,0
ds4sd/CodeFormula,,,,,39424,Unknown,/,/,multimodal,0,0,0,0,1,0,0
intfloat/multilingual-e5-small,,,sentence-similarity,sentence-transformers,2227668,NLP,finetune,microsoft/Multilingual-MiniLM-L12-H384,NLP,1,1,1,1,0,1,0
iqbalamo93/Meta-Llama-3.1-8B-Instruct-GPTQ-Q_8,quantized,meta-llama/Llama-3.1-8B-Instruct,text-generation,,2796,NLP,quantized,meta-llama/Llama-3.1-8B-Instruct,NLP,1,0,1,0,0,0,0
stjiris/bert-large-portuguese-cased-legal-mlm-sts-v1.0,,,sentence-similarity,sentence-transformers,3188,NLP,finetune,neuralmind/bert-large-portuguese-cased,NLP,1,1,1,1,0,1,0
penguin102/c66-h12,,,,,3365,Unknown,finetune,distributed/llama-1b,NLP,1,0,1,0,0,1,0
oliverguhr/spelling-correction-english-base,,,text-generation,transformers,33661,NLP,/,/,NLP,1,0,0,0,1,0,0
CAMeL-Lab/bert-base-arabic-camelbert-mix-sentiment,,,text-classification,transformers,131876,NLP,finetune,CAMeL-Lab/bert-base-arabic-camelbert-mix,NLP,1,0,1,0,0,1,0
juliensimon/xlm-v-base-language-id,finetune,facebook/xlm-v-base,text-classification,transformers,2912,NLP,finetune,facebook/xlm-v-base,NLP,1,0,1,0,0,0,0
Mungert/Qwen3-Embedding-0.6B-GGUF,quantized,Qwen/Qwen3-0.6B-Base,feature-extraction,sentence-transformers,4101,NLP,quantized,Qwen/Qwen3-0.6B-Base,NLP,1,0,1,0,0,0,0
UBC-NLP/MARBERT,,,fill-mask,transformers,4317,NLP,/,/,NLP,1,1,0,0,0,0,0
google-bert/bert-base-german-cased,,,fill-mask,transformers,555183,NLP,/,/,NLP,1,1,0,0,0,0,0
openai/whisper-base,,,automatic-speech-recognition,transformers,687445,Audio,/,/,Audio,1,1,0,0,0,0,0
zer0int/LongCLIP-L-Diffusers,finetune,BeichenZhang/LongCLIP-L,,,24909,Unknown,finetune,BeichenZhang/LongCLIP-L,multimodal,1,0,1,0,0,0,0
mlx-community/DeepSeek-R1-0528-Qwen3-8B-4bit,quantized,deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,text-generation,mlx,3147,NLP,quantized,deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,NLP,1,0,1,0,0,0,0
timm/convit_base.fb_in1k,,,image-classification,timm,9299,CV,finetune,https://github.com/facebookresearch/convit,CV,1,0,1,0,0,1,0
openchat/openchat-3.5-0106-gemma,,,text-generation,transformers,5485,NLP,/,/,NLP,1,1,0,0,0,0,0
Magpie-Align/Llama-3.1-8B-Magpie-Align-v0.1,finetune,Magpie-Align/Llama-3.1-8B-Magpie-Align-SFT-v0.1,text-generation,transformers,3312,NLP,finetune,Magpie-Align/Llama-3.1-8B-Magpie-Align-SFT-v0.1,NLP,1,1,1,1,0,0,0
mradermacher/oh-dcft-v3.1-claude-3-5-sonnet-20241022-GGUF,quantized,mlfoundations-dev/oh-dcft-v3.1-claude-3-5-sonnet-20241022,,transformers,17886,Unknown,quantized,mlfoundations-dev/oh-dcft-v3.1-claude-3-5-sonnet-20241022,NLP,1,1,1,1,0,0,0
NousResearch/Hermes-2-Pro-Mistral-7B-GGUF,quantized,mistralai/Mistral-7B-v0.1,,,5894,Unknown,quantized,mistralai/Mistral-7B-v0.1,NLP,1,0,1,0,0,0,0
allenai/OLMo-2-1124-7B-Instruct,finetune,allenai/OLMo-2-1124-7B-DPO,text-generation,transformers,11642,NLP,finetune,allenai/OLMo-2-1124-7B-DPO,NLP,1,1,1,1,0,0,0
NousResearch/DeepHermes-3-Llama-3-8B-Preview,finetune,meta-llama/Llama-3.1-8B,text-generation,transformers,6438,NLP,finetune,meta-llama/Llama-3.1-8B,NLP,1,1,1,1,0,0,0
Helsinki-NLP/opus-mt-et-en,,,translation,transformers,3410,NLP,/,/,NLP,1,1,0,0,0,0,0
lmstudio-community/DeepSeek-R1-0528-Qwen3-8B-GGUF,quantized,deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,text-generation,,247344,NLP,quantized,deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,NLP,1,0,1,0,0,0,0
PULSE-ECG/PULSE-7B,,,image-text-to-text,,3991,Multimodal,/,/,Multimodal,?,1,0,0,0,0,0
FremyCompany/BioLORD-2023-C,,,sentence-similarity,sentence-transformers,27148,NLP,finetune,sentence-transformers/all-mpnet-base-v2,NLP,1,0,1,0,0,1,0
nferruz/ProtGPT2,,,text-generation,transformers,204936,NLP,/,/,NLP,1,1,0,0,0,0,0
kyujinpy/Ko-PlatYi-6B,,,text-generation,transformers,3307,NLP,finetune,beomi/Yi-Ko-6B,NLP,1,1,1,1,0,1,0
dangvantuan/vietnamese-embedding,,,sentence-similarity,sentence-transformers,21038,NLP,/,/,NLP,1,1,0,0,0,0,0
timm/vit_base_patch32_224.augreg_in21k_ft_in1k,,,image-classification,timm,10203,CV,/,/,CV,1,1,0,0,0,0,0
mshenoda/roberta-spam,,,text-classification,transformers,20108,NLP,finetune,roberta-base,NLP,1,1,1,1,0,1,0
pierreguillou/ner-bert-base-cased-pt-lenerbr,,,token-classification,transformers,3347,NLP,finetune,pierreguillou/bert-base-cased-pt-lenerbr,NLP,1,1,1,0,0,1,0
uukuguy/speechless-zephyr-code-functionary-7b,,,text-generation,transformers,9291,NLP,merge,...,NLP,1,1,1,1,0,1,0
katuni4ka/tiny-random-baichuan2-13b,,,text-generation,transformers,90194,NLP,/,/,NLP,1,0,0,0,1,0,0
kwoncho/ko-sroberta-multitask-informative,,,text-classification,transformers,17284,NLP,finetune,jhgan/ko-sroberta-multitask,NLP,1,0,1,0,0,1,0
sentence-transformers/msmarco-distilbert-base-dot-prod-v3,,,sentence-similarity,sentence-transformers,137534,NLP,/,/,NLP,1,1,0,0,0,0,0
CohereLabs/c4ai-command-r-v01,,,text-generation,transformers,11587,NLP,/,/,NLP,1,1,0,0,0,0,0
deepseek-ai/deepseek-math-7b-instruct,,,text-generation,transformers,7074,NLP,finetune,deepseek-ai/deepseek-math-7b,NLP,1,1,1,1,0,1,0
osllmai-community/Llama-3.2-1B,finetune,meta-llama/Llama-3.2-1B,text-generation,transformers,16408,NLP,finetune,meta-llama/Llama-3.2-1B,NLP,1,1,1,1,0,0,0
unsloth/DeepSeek-R1-0528-Qwen3-8B-GGUF,quantized,deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,text-generation,transformers,875564,NLP,quantized,deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,NLP,1,0,1,0,0,0,0
nomic-ai/nomic-embed-text-v1.5-GGUF,quantized,nomic-ai/nomic-embed-text-v1.5,sentence-similarity,,12239,NLP,quantized,nomic-ai/nomic-embed-text-v1.5,NLP,1,0,1,0,0,0,0
Bedovyy/Qwen3-32B.w8a8,quantized,Qwen/Qwen3-32B,text-generation,transformers,3014,NLP,quantized,Qwen/Qwen3-32B,NLP,1,0,1,0,0,0,0
vectara/hallucination_evaluation_model,finetune,google/flan-t5-base,text-classification,transformers,367396,NLP,finetune,google/flan-t5-base,NLP,1,0,1,0,0,0,0
facebook/mms-1b-fl102,,,automatic-speech-recognition,transformers,3424,Audio,finetune,facebook/mms-1b,Audio,1,1,1,1,0,1,0
sentence-transformers/all-distilroberta-v1,,,sentence-similarity,sentence-transformers,337482,NLP,finetune,distilroberta-base,NLP,1,1,1,1,0,1,0
AIDX-ktds/ktdsbaseLM-v0.16-onbased-llama3.1,,,text-generation,transformers,3310,NLP,/,/,NLP,1,0,0,0,1,0,0
unsloth/Mistral-Nemo-Instruct-2407-bnb-4bit,,,text-generation,transformers,664660,NLP,/,/,NLP,1,1,0,0,0,0,0
sashaboguraev/filler_gap_obj_pythia-410m_pos_4_layer_17,,,,,16542,Unknown,/,/,Unknown,?,0,0,0,1,0,0
vicgalle/Configurable-Llama-3.1-8B-Instruct,,,text-generation,transformers,3409,NLP,finetune,Llama-3.1-8B,NLP,1,1,1,1,0,1,0
nm-testing/Meta-Llama-3-8B-Instruct-W8A8-Static-Per-Tensor-Asym,,,,,3771,Unknown,quantize,Meta-Llama-3-8B-Instruct,NLP,1,0,1,0,0,1,0
circulus/canvers-en2ko-v2,,,text-generation,transformers,2744,NLP,/,/,NLP,1,0,0,0,1,0,0
flair/upos-multi,,,token-classification,flair,7107,NLP,finetune,Flair embeddings and LSTM-CRF,NLP,1,0,1,0,0,1,0
astronomer/Llama-3-8B-Instruct-GPTQ-4-Bit,quantized,meta-llama/Meta-Llama-3-8B-Instruct,text-generation,transformers,3349,NLP,quantized,meta-llama/Meta-Llama-3-8B-Instruct,NLP,1,1,1,1,0,0,0
knowledgator/gliner-multitask-large-v0.5,,,token-classification,gliner,4652,NLP,/,/,NLP,1,1,0,0,0,0,0
timm/cait_s24_224.fb_dist_in1k,,,image-classification,timm,4316,CV,/,/,CV,1,1,0,0,0,0,0
TaylorAI/bge-micro,,,sentence-similarity,sentence-transformers,3511,NLP,distill,bge-small-en-v1.5,NLP,1,1,1,1,0,1,0
JujoHotaru/lora,,,text-to-image,diffusers,22960,CV,/,/,CV,1,1,0,0,0,0,0
zetasepic/Qwen2.5-72B-Instruct-abliterated,finetune,Qwen/Qwen2.5-72B-Instruct,text-generation,,3463,NLP,finetune,Qwen/Qwen2.5-72B-Instruct,NLP,1,1,1,1,0,0,0
eugenesiow/bart-paraphrase,,,text-generation,transformers,4937,NLP,finetune,facebook/bart-large,NLP,1,1,1,1,0,1,0
GAI-LLM/llama-2-koen-13b-dpo-v2,,,text-generation,transformers,3325,NLP,finetune,llama-2-koen-13b-mixed-v10,NLP,1,1,1,1,0,1,0
MBZUAI/GLaMM-GranD-Pretrained,,,text-generation,transformers,91922,NLP,/,/,NLP,1,0,0,0,1,0,0
jeonghyeon97/koBERT-Senti5,finetune,monologg/kobert,text-classification,transformers,2952,NLP,finetune,monologg/kobert,NLP,1,0,1,0,0,0,0
lmstudio-community/Codestral-22B-v0.1-GGUF,quantized,mistralai/Codestral-22B-v0.1,text-generation,,10520,NLP,quantized,mistralai/Codestral-22B-v0.1,NLP,1,0,1,0,0,0,0
RefalMachine/ruadapt_qwen2.5_7B_ext_u48_instruct,,,text-generation,,3372,NLP,finetune,Qwen2.5-7B,NLP,1,1,1,1,0,1,0
timm/flexivit_base.1200ep_in1k,,,image-classification,timm,3851,CV,/,/,CV,1,1,0,0,0,0,0
meta-llama/Llama-3.2-90B-Vision-Instruct,,,image-text-to-text,transformers,14835,Multimodal,finetune,meta-llama/Llama-3.2-90B-Vision,Multimodal,1,1,1,1,0,1,0
state-spaces/mamba-370m-hf,,,text-generation,transformers,6519,NLP,/,/,NLP,1,1,0,0,0,0,0
allenai/OLMoE-1B-7B-0924,,,text-generation,transformers,139501,NLP,/,/,NLP,1,1,0,0,0,0,0
Qwen/Qwen1.5-0.5B-Chat,,,text-generation,transformers,438713,NLP,/,/,NLP,1,1,0,0,0,0,0
Universal-NER/UniNER-7B-all,,,text-generation,transformers,5808,NLP,/,/,NLP,1,1,0,0,0,0,0
allenai/OLMo-7B-0424-hf,,,text-generation,transformers,4390,NLP,/,/,NLP,1,1,0,0,0,0,0
bartowski/Meta-Llama-3-8B-Instruct-GGUF,,,text-generation,,9856,NLP,quantize,Meta-Llama-3-8B-Instruct,NLP,1,1,1,1,0,1,0
nvidia/Mistral-NeMo-Minitron-8B-Base,,,text-generation,transformers,7077,NLP,distill,Mistral-NeMo 12B,NLP,1,1,1,1,0,1,0
timm/convnext_base.fb_in22k_ft_in1k,,,image-classification,timm,111073,CV,/,/,CV,1,1,0,0,0,0,0
timm/tinynet_a.in1k,,,image-classification,timm,23709,CV,/,/,CV,0,0,0,0,1,0,0
relaxml/Llama-3.1-8b-Instruct-QTIP-2Bit,,,,,4691,Unknown,quantize,relaxml/Llama-3.1-8b-Instruct,NLP,1,0,1,0,0,1,0
canlinzhang/wav2vec2_speech_emotion_recognition_trained_on_IEMOCAP,,,audio-classification,transformers,3240,Audio,finetune,facebook/wav2vec2-base,Audio,1,0,1,0,0,1,0
cagliostrolab/animagine-xl-3.0,finetune,Linaqruf/animagine-xl-2.0,text-to-image,diffusers,3489,CV,finetune,Linaqruf/animagine-xl-2.0,CV,0,1,1,1,0,0,0
qnguyen3/Master-Yi-9B,,,text-generation,transformers,15056,NLP,/,/,NLP,1,1,0,0,0,0,0
openai/whisper-large-v3,,,automatic-speech-recognition,transformers,3009896,Audio,/,/,audio,1,1,0,0,0,0,0
timm/vit_base_patch16_224.augreg_in21k_ft_in1k,,,image-classification,timm,8866,CV,/,/,CV,1,0,0,0,1,0,0
Qwen/Qwen2.5-Math-7B,finetune,Qwen/Qwen2.5-7B,text-generation,transformers,76269,NLP,finetune,Qwen/Qwen2.5-7B,NLP,1,1,1,1,0,0,0
fxmarty/tiny-doc-qa-vision-encoder-decoder,,,document-question-answering,transformers,64675,Multimodal,/,/,Multimodal,1,1,0,0,0,0,0
amd/Phi-3.5-mini-instruct-awq-g128-int4-asym-bf16-onnx-ryzen-strix,quantized,microsoft/Phi-3.5-mini-instruct,text-generation,transformers,4722,NLP,quantized,microsoft/Phi-3.5-mini-instruct,NLP,1,0,1,0,0,0,0
mradermacher/oh-dcft-v3.1-gemini-1.5-pro-i1-GGUF,quantized,mlfoundations-dev/oh-dcft-v3.1-gemini-1.5-pro,,transformers,18162,Unknown,quantized,mlfoundations-dev/oh-dcft-v3.1-gemini-1.5-pro,NLP,1,0,1,0,0,0,0
internlm/internlm2_5-7b-chat,,,text-generation,transformers,18780,NLP,/,/,NLP,1,1,0,0,0,0,0
ehsanaghaei/SecureBERT,,,fill-mask,transformers,8172,NLP,finetune,RoBERTa,NLP,1,1,1,1,0,0,0
ggml-org/Qwen2.5-Coder-0.5B-Q8_0-GGUF,quantized,Qwen/Qwen2.5-Coder-0.5B,text-generation,transformers,3477,NLP,quantized,Qwen/Qwen2.5-Coder-0.5B,NLP,1,0,1,0,0,0,0
meta-llama/Llama-3.2-1B-Instruct,,,text-generation,transformers,2594536,NLP,finetune,meta-llama/Llama-3.2-1B,NLP,1,1,1,1,0,1,0
tao1000/main23-model,,,,,2906,Unknown,/,/,Unknown,?,0,0,0,1,0,0
WhiteRabbitNeo/WhiteRabbitNeo-V3-7B,finetune,Qwen/Qwen2.5-Coder-7B,text-generation,transformers,4542,NLP,finetune,Qwen/Qwen2.5-Coder-7B,NLP,1,1,1,1,0,0,0
ivrit-ai/whisper-large-v3-turbo-ct2,finetune,openai/whisper-large-v3-turbo,,,9634,Unknown,finetune,openai/whisper-large-v3-turbo,audio,1,0,1,0,0,0,0
teddylee777/Llama-3-Open-Ko-8B-gguf,,,text-generation,transformers,3659,NLP,quantize,beomi/Llama-3-Open-Ko-8B,NLP,1,0,1,0,0,1,0
medmediani/Arabic-KW-Mdel,,,sentence-similarity,sentence-transformers,12128,NLP,/,/,NLP,1,0,0,0,1,0,0
bartowski/Rombos-LLM-70b-Llama-3.3-GGUF,quantized,rombodawg/Rombos-LLM-70b-Llama-3.3,text-generation,,2775,NLP,quantized,rombodawg/Rombos-LLM-70b-Llama-3.3,NLP,1,0,1,0,0,0,0
cognitivecomputations/dolphin-2.9.2-mixtral-8x22b,finetune,mistral-community/Mixtral-8x22B-v0.1,text-generation,transformers,10019,NLP,quantize,mistral-community/Mixtral-8x22B-v0.1,NLP,1,0,1,0,0,0,0
gsdf/Counterfeit-V2.5,,,text-to-image,diffusers,15185,CV,/,/,CV,0,1,0,0,0,0,0
cyberdelia/CyberRealistic,,,text-to-image,diffusers,8381,CV,/,/,CV,0,0,0,0,1,0,0
VAGOsolutions/SauerkrautLM-Gemma-7b,,,text-generation,transformers,3995,NLP,finetune,google/gemma-7b,NLP,1,1,1,1,0,1,0
Secbone/llama-33B-instructed,,,text-generation,transformers,3020,NLP,finetune,Secbone/llama-33B,NLP,1,1,1,1,0,1,0
tiiuae/falcon-mamba-7b-instruct,finetune,tiiuae/falcon-mamba-7b,text-generation,transformers,25543,NLP,finetune,tiiuae/falcon-mamba-7b,NLP,1,1,1,1,0,0,0
distributed/llama-1b,,,,,106777,Unknown,/,/,NLP,1,0,0,0,1,0,0
bartowski/Llama-3.3-70B-Instruct-abliterated-GGUF,quantized,huihui-ai/Llama-3.3-70B-Instruct-abliterated,text-generation,,5986,NLP,quantized,huihui-ai/Llama-3.3-70B-Instruct-abliterated,NLP,1,0,1,0,0,0,0
fyaronskiy/ruRoberta-large-ru-go-emotions,finetune,ai-forever/ruRoberta-large,text-classification,transformers,3349,NLP,finetune,ai-forever/ruRoberta-large,NLP,1,0,1,0,0,0,0
BitAgent/BitAgent-8B,,,,,7829,Unknown,/,/,NLP,1,1,0,0,0,0,0
sentence-transformers/roberta-large-nli-stsb-mean-tokens,,,sentence-similarity,sentence-transformers,13111,NLP,/,/,NLP,1,0,0,0,1,0,0
lmstudio-community/Qwen2.5-Coder-14B-Instruct-MLX-8bit,quantized,Qwen/Qwen2.5-Coder-14B-Instruct,text-generation,mlx,61571,NLP,quantized,Qwen/Qwen2.5-Coder-14B-Instruct,NLP,1,0,1,0,0,0,0
NickelK/model3_0,,,text-to-image,diffusers,10648,CV,/,/,CV,0,0,0,0,1,0,0
Aardiiiiy/indobertweet-base-Indonesian-sentiment-analysis,,,text-classification,transformers,3104,NLP,finetune,IndoBertweet-base-uncased,NLP,1,1,1,1,0,1,0
ibm-granite/granite-20b-code-instruct-8k,finetune,ibm-granite/granite-20b-code-base-8k,text-generation,transformers,2983,NLP,finetune,ibm-granite/granite-20b-code-base-8k,NLP,1,1,1,1,0,0,0
igig98/ppo2,,,text-generation,transformers,3301,NLP,finetune,EleutherAI/polyglot-ko-12.8b,NLP,1,0,1,0,0,1,0
MaziyarPanahi/DeepSeek-V3-0324-GGUF,quantized,deepseek-ai/DeepSeek-V3-0324,text-generation,,191056,NLP,quantized,deepseek-ai/DeepSeek-V3-0324,NLP,1,0,1,0,0,0,0
OpenGVLab/InternVL3-14B-AWQ,quantized,OpenGVLab/InternVL3-14B,image-text-to-text,transformers,5592,Multimodal,quantized,OpenGVLab/InternVL3-14B,Multimodal,1,0,1,0,0,0,0
mmnga/ELYZA-japanese-Llama-2-7b-fast-instruct-gguf,,,,,3642,Unknown,quantize,mmnga/ELYZA-japanese-Llama-2-7b-fast-instruct,NLP,1,0,1,0,0,1,0
taobao-mnn/Qwen2.5-0.5B-Instruct-MNN,,,text-generation,,59244,NLP,quantize,Qwen2.5-0.5B-Instruct,NLP,1,0,1,0,0,1,0
lmstudio-community/Qwen2.5-0.5B-Instruct-MLX-4bit,quantized,Qwen/Qwen2.5-0.5B-Instruct,text-generation,mlx,3809,NLP,quantized,Qwen/Qwen2.5-0.5B-Instruct,NLP,1,0,1,0,0,0,0
avichr/heBERT,,,fill-mask,transformers,6864,NLP,/,/,NLP,1,0,0,0,1,0,0
hyunseoki/ko-ref-llama2-13b,,,text-generation,transformers,4043,NLP,finetune,Llama-2-13B,NLP,1,1,1,1,0,1,0
lpiccinelli/unidepth-v2-vitl14,,,,UniDepth,2648271,Unknown,/,/,NLP,1,0,0,0,1,0,0
Unispac/Llama2-7B-Chat-Augmented,,,,,3291,Unknown,finetune,ckpts/Llama-2-7b-chat-fp16,Unknown,1,0,1,0,0,1,0
togethercomputer/RedPajama-INCITE-Chat-3B-v1,,,text-generation,transformers,2763,NLP,finetune,RedPajama-INCITE-Base-3B-v1,NLP,1,1,1,1,0,1,0
SG161222/RealVisXL_V1.0,,,text-to-image,diffusers,2896,CV,/,/,CV,0,1,0,0,0,0,0
yentinglin/Llama-3-Taiwan-70B-Instruct,finetune,meta-llama/Meta-Llama-3-70B,text-generation,transformers,4355,NLP,finetune,meta-llama/Meta-Llama-3-70B,NLP,1,1,1,1,0,0,0
smp-hub/mit_b2.imagenet,,,image-classification,segmentation-models-pytorch,14248,CV,/,/,CV,?,0,0,0,1,0,0
unsloth/mistral-7b-v0.3-bnb-4bit,quantized,mistralai/Mistral-7B-v0.3,text-generation,transformers,33649,NLP,quantized,mistralai/Mistral-7B-v0.3,NLP,1,1,1,1,0,0,0
lmsys/vicuna-13b-v1.5-16k,,,text-generation,transformers,21848,NLP,finetune,Llama 2,NLP,1,1,1,1,0,1,0
deepset/gbert-base,,,fill-mask,transformers,9728,NLP,finetune,bert-base-german-cased,NLP,1,1,1,1,0,1,0
timm/resnet50.tv2_in1k,,,image-classification,timm,5992,CV,/,/,CV,0,1,0,0,0,0,0
Gustking/wav2vec2-large-xlsr-deepfake-audio-classification,finetune,alefiury/wav2vec2-large-xlsr-53-gender-recognition-librispeech,audio-classification,transformers,4028,Audio,finetune,alefiury/wav2vec2-large-xlsr-53-gender-recognition-librispeech,Audio,1,1,1,1,0,0,0
DAMO-NLP-MT/polylm-1.7b,,,text-generation,transformers,3310,NLP,/,/,NLP,1,1,0,0,0,0,0
unsloth/Qwen3-32B-GGUF,quantized,Qwen/Qwen3-32B,text-generation,transformers,36779,NLP,quantized,Qwen/Qwen3-32B,NLP,1,0,1,0,0,0,0
UnfilteredAI/DAN-L3-R1-8B,quantized,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,text-generation,transformers,3388,NLP,quantized,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,NLP,1,1,1,1,0,0,0
sentence-transformers/facebook-dpr-ctx_encoder-multiset-base,,,sentence-similarity,sentence-transformers,4596,NLP,/,/,NLP,1,1,0,0,0,0,0
Goekdeniz-Guelmez/Josiefied-Qwen2.5-7B-Instruct-abliterated-v2,finetune,Qwen/Qwen2.5-7B,text-generation,,3622,NLP,finetune,Qwen/Qwen2.5-7B,NLP,1,1,1,1,0,0,0
BLIP3o/BLIP3o-Model-8B,,,,diffusers,5073,Unknown,/,/,NLP,1,0,0,0,1,0,0
lmstudio-community/Qwen2.5-Coder-14B-Instruct-MLX-4bit,quantized,Qwen/Qwen2.5-Coder-14B-Instruct,text-generation,mlx,65990,NLP,quantized,Qwen/Qwen2.5-Coder-14B-Instruct,NLP,1,1,1,1,0,0,0
timm/samvit_base_patch16.sa1b,,,image-feature-extraction,timm,3579,CV,/,/,CV,1,0,0,0,1,0,0
sometimesanotion/Lamarck-14B-v0.7-Fusion,merge,"jpacifico/Chocolatine-2-14B-Instruct-v2.0.3, sometimesanotion/Lamarck-14B-v0.7, sometimesanotion/Qwenvergence-14B-v12-Prose-DS, suayptalha/Lamarckvergence-14B",text-generation,transformers,4078,NLP,merge,"jpacifico/Chocolatine-2-14B-Instruct-v2.0.3, sometimesanotion/Lamarck-14B-v0.7, sometimesanotion/Qwenvergence-14B-v12-Prose-DS, suayptalha/Lamarckvergence-14B",NLP,1,1,1,1,0,0,0
google/gemma-7b-it,finetune,google/gemma-7b,text-generation,transformers,69219,NLP,finetune,google/gemma-7b,NLP,1,1,1,1,0,0,0
DavidAU/MN-DARKEST-UNIVERSE-29B-GGUF,quantize,mistralai/Mistral-Nemo-Instruct-2407,text-generation,,4437,NLP,quantize,mistralai/Mistral-Nemo-Instruct-2407,NLP,1,0,1,0,0,0,0
jameslahm/yoloe,,,object-detection,ultralytics,15130,CV,/,/,CV,0,0,0,0,1,0,0
Qwen/Qwen3-Embedding-0.6B,finetune,Qwen/Qwen3-0.6B-Base,feature-extraction,sentence-transformers,2203754,NLP,finetune,Qwen/Qwen3-0.6B-Base,NLP,1,1,1,1,0,0,0
charsiu/g2p_multilingual_byT5_tiny_16_layers_100,,,text-generation,transformers,6050,NLP,finetune,/home/patrick/t5/byt5-small,NLP,1,1,1,1,0,1,0
4yo1/llama3-pre1-ds-lora1,,,translation,transformers,3303,NLP,/,/,NLP,1,0,0,0,1,0,0
unsloth/gemma-3-1b-it-bnb-4bit,quantized,google/gemma-3-1b-it,text-generation,transformers,4540,NLP,quantized,google/gemma-3-1b-it,NLP,1,1,1,1,0,0,0
Qwen/Qwen2.5-Math-1.5B-Instruct,finetune,Qwen/Qwen2.5-Math-1.5B,text-generation,transformers,114095,NLP,finetune,Qwen/Qwen2.5-Math-1.5B,NLP,1,1,1,1,0,0,0
facebook/mms-1b,,,,transformers,6206,Unknown,/,/,audio,1,1,0,0,0,0,0
sshleifer/distilbart-xsum-1-1,,,summarization,transformers,2913,NLP,/,/,NLP,1,0,0,0,1,0,0
MaziyarPanahi/calme-2.5-qwen2-7b,finetune,Qwen/Qwen2-7B,text-generation,transformers,3335,NLP,finetune,Qwen/Qwen2-7B,NLP,1,1,1,1,0,0,0
Edentns/DataVortexS-10.7B-v0.4,finetune,LDCC/LDCC-SOLAR-10.7B,text-generation,transformers,3294,NLP,finetune,LDCC/LDCC-SOLAR-10.7B,NLP,1,0,1,0,0,0,0
mradermacher/14B-Qwen2.5-Kunou-v1-GGUF,quantized,Sao10K/14B-Qwen2.5-Kunou-v1,,transformers,4548,Unknown,quantized,Sao10K/14B-Qwen2.5-Kunou-v1,NLP,1,0,1,0,0,0,0
SeerAttention/SeerAttention-Decode-Qwen3-4B-AttnGates,adapter,Qwen/Qwen3-4B,text-generation,transformers,4114,NLP,adapter,Qwen/Qwen3-4B,NLP,1,0,1,0,0,0,0
Metin/Gemma-2-9b-it-TR-DPO-V1,finetune,google/gemma-2-9b-it,text-generation,,4255,NLP,finetune,google/gemma-2-9b-it,NLP,1,1,1,1,0,0,0
guillaumekln/faster-whisper-base,,,automatic-speech-recognition,ctranslate2,8186,Audio,convert,openai/whisper-base,Audio,1,0,1,0,0,1,0
open-unlearning/tofu_Llama-3.1-8B-Instruct_full,,,,,4593,Unknown,finetune,open-unlearning/tofu_Llama-3.1-8B-Instruct,NLP,1,0,1,0,0,1,0
Oriserve/Whisper-Hindi2Hinglish-Prime,finetune,openai/whisper-large-v3,automatic-speech-recognition,transformers,3721,Audio,finetune,openai/whisper-large-v3,Audio,1,0,1,0,0,0,0
llm-jp/llm-jp-3.1-1.8b-instruct4,,,text-generation,transformers,5701,NLP,finetune,llm-jp-3,NLP,1,1,1,1,0,1,0
OpenGVLab/InternVL2_5-1B-MPO,finetune,OpenGVLab/InternVL2_5-1B,image-text-to-text,transformers,3792,Multimodal,finetune,OpenGVLab/InternVL2_5-1B,Multimodal,1,1,1,1,0,0,0
UCLA-AGI/Mistral7B-PairRM-SPPO-Iter3,,,text-generation,transformers,10421,NLP,finetune,mistralai/Mistral-7B-Instruct-v0.2,NLP,1,1,1,1,0,1,0
LnL-AI/TinyLlama-1.1B-Chat-v1.0-GPTQ-Marlin-4bit,,,text-generation,transformers,5449,NLP,quantize,TinyLlama/TinyLlama-1.1B-Chat-v1.0,NLP,1,0,1,0,0,1,0
FINDA-FIT/llama-2-ko-plain,,,text-generation,transformers,3302,NLP,finetune,llama-2,NLP,1,0,1,0,0,1,0
